<DOC> <DOC>+BDTag
<TITLE> <TITLE>+BTTag
<S> <S>+BSTag
</S> </S>+ESTag
<S> <S>+BSTag
Heparin Heparin+Noun+Prop+A3sg+Pnon+Nom
ve ve+Conj
histamin histamin+Noun+A3sg+Pnon+Nom
salgılayan salgıla+Verb+Pos^DB+Adj+PresPart
granüllü granül+Noun+A3sg+Pnon+Nom^DB+Adj+With
akyuvarlara akyuvar+Noun+A3pl+Pnon+Dat
ne ne+Adverb ne+Conj ne+Adj ne+Pron+Ques+A3sg+Pnon+Nom
ad ad+Noun+A3sg+Pnon+Nom
verilir ver+Verb^DB+Verb+Pass+Pos+Aor+A3sg ver+Verb^DB+Verb+Pass+Pos^DB+Adj+AorPart
. .+Punc
</S> </S>+ESTag
<S> <S>+BSTag
</S> </S>+ESTag
<S> <S>+BSTag
</S> </S>+ESTag
</DOC> </DOC>+EDTag
