<DOC> <DOC>+BDTag
<TITLE> <TITLE>+BTTag
<S> <S>+BSTag
</S> </S>+ESTag
<S> <S>+BSTag
Mutasyona mutasyon+Noun+A3sg+Pnon+Dat
sebep sebep+Noun+A3sg+Pnon+Nom
olan ol+Verb+Pos^DB+Adj+PresPart
çeşitli çeşit+Noun+A3sg+Pnon+Nom^DB+Adj+With
faktörlere faktör+Noun+A3pl+Pnon+Dat
ne ne+Adverb ne+Conj ne+Adj ne+Pron+Ques+A3sg+Pnon+Nom
ad ad+Noun+A3sg+Pnon+Nom
verilir ver+Verb^DB+Verb+Pass+Pos+Aor+A3sg ver+Verb^DB+Verb+Pass+Pos^DB+Adj+AorPart
. .+Punc
</S> </S>+ESTag
<S> <S>+BSTag
</S> </S>+ESTag
<S> <S>+BSTag
</S> </S>+ESTag
</DOC> </DOC>+EDTag
